1:0.0	2:17.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:1.0	2:0.0	3:37.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:1.0
1:0.0	2:62.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:30.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:30.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:19.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:23.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:30.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:0.0	3:20.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:0.0	3:40.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:30.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:10.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:10.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:10.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:34.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:11.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:0.0	3:17.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:2.0	3:26.0	4:0.0	5:1.0	6:1.0	7:0.0	8:0.0	9:0.0
1:0.0	2:15.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:7.0	3:10.0	4:1.0	5:0.0	6:1.0	7:0.0	8:0.0	9:0.0
1:0.0	2:0.0	3:18.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:19.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:1.0	2:0.0	3:10.0	4:0.0	5:0.0	6:0.0	7:1.0	8:0.0	9:1.0
1:0.0	2:14.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:0.0	3:17.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:0.0	3:19.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:40.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:20.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
1:0.0	2:30.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0
