1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:14.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:40.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:14.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:14.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:15.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:15.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:14.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:6.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:3.0	20:0.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:14.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:17.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:4.0	9:1.0	10:1.0	11:9.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:8.0	20:0.0	21:0.0	22:1.0	23:0.0	24:1.0	25:1.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:16.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:17.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:30.0	12:2.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:5.0	20:0.0	21:0.0	22:0.0	23:0.0	24:2.0	25:0.0
1:0.0	2:1.0	3:0.0	4:1.0	5:0.0	6:0.0	7:0.0	8:6.0	9:1.0	10:0.0	11:9.0	12:0.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0	19:0.0	20:1.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:7.0	9:1.0	10:1.0	11:9.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:18.0	20:0.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:17.0	12:2.0	13:0.0	14:0.0	15:0.0	16:0.0	17:2.0	18:0.0	19:40.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:20.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:9.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:19.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:4.0	9:0.0	10:1.0	11:6.0	12:1.0	13:0.0	14:0.0	15:0.0	16:1.0	17:1.0	18:0.0	19:15.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:12.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:5.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:13.0	9:0.0	10:0.0	11:5.0	12:0.0	13:0.0	14:1.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:1.0	21:0.0	22:1.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:1.0	6:0.0	7:0.0	8:6.0	9:1.0	10:1.0	11:16.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:2.0	20:0.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:1.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:1.0	9:0.0	10:0.0	11:14.0	12:2.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:18.0	20:1.0	21:0.0	22:0.0	23:0.0	24:2.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:20.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:6.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:32.0	20:0.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:12.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:16.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:10.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:3.0	9:0.0	10:0.0	11:1.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:3.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:1.0	4:2.0	5:0.0	6:0.0	7:0.0	8:5.0	9:0.0	10:1.0	11:4.0	12:1.0	13:0.0	14:0.0	15:2.0	16:0.0	17:0.0	18:0.0	19:22.0	20:2.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:0.0	4:0.0	5:0.0	6:1.0	7:0.0	8:0.0	9:1.0	10:0.0	11:0.0	12:1.0	13:0.0	14:0.0	15:1.0	16:0.0	17:1.0	18:0.0	19:3.0	20:1.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:1.0	2:0.0	3:1.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:1.0	11:1.0	12:0.0	13:0.0	14:0.0	15:1.0	16:0.0	17:0.0	18:0.0	19:14.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:14.0	12:2.0	13:1.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:16.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:1.0	8:1.0	9:1.0	10:1.0	11:1.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:3.0	20:1.0	21:0.0	22:0.0	23:1.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:17.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:1.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:13.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:16.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:15.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:19.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:18.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:19.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:13.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:14.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:0.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:17.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:2.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:4.0	9:1.0	10:0.0	11:9.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:2.0	20:0.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:5.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:13.0	20:0.0	21:0.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:1.0	4:0.0	5:1.0	6:0.0	7:0.0	8:5.0	9:0.0	10:1.0	11:13.0	12:1.0	13:0.0	14:0.0	15:0.0	16:0.0	17:2.0	18:0.0	19:14.0	20:0.0	21:1.0	22:0.0	23:0.0	24:1.0	25:0.0
1:0.0	2:0.0	3:0.0	4:0.0	5:0.0	6:0.0	7:0.0	8:0.0	9:0.0	10:0.0	11:3.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:1.0	18:0.0	19:16.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
1:0.0	2:1.0	3:1.0	4:0.0	5:0.0	6:0.0	7:0.0	8:8.0	9:1.0	10:1.0	11:18.0	12:0.0	13:0.0	14:0.0	15:0.0	16:0.0	17:0.0	18:0.0	19:0.0	20:0.0	21:0.0	22:0.0	23:0.0	24:0.0	25:0.0
